; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540156680,"CurrentTimeLocal","Sun Oct 21 14:18:00 2018","Hostname","nid02171","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.3e-05
; "Time_ContextDestroy [ms]", 6.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,11,72,"Success",0.001377,108.723064,104.893518,2.363483,98.722087,109.757197,1.514874,5.280993,431.258286,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,0,73,"Warmup",0.006689,5639.9277,5611.096773,266.584124,2841.553082,3013.514556,44.292988,879.754498,18296.732238,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,1,73,"Warmup",0.009219,5626.800599,5729.211238,273.307902,2911.441961,3001.096074,44.592849,888.00893,18474.471162,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,2,73,"Success",0.010017,5718.614968,5653.82216,266.570863,2789.313238,2915.377156,43.557184,882.579335,18269.846859,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,3,73,"Success",0.008506,5631.276999,5620.721385,266.057009,2738.993054,2921.390274,43.368596,876.202677,18098.020354,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,4,73,"Success",0.008032,5622.397527,5629.502555,266.027529,2740.240819,2920.343454,43.718393,876.465839,18098.706194,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,5,73,"Success",0.008837,5615.007945,5628.977181,266.072237,2769.644263,2912.392133,43.68165,876.482596,18112.26866,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,6,73,"Success",0.008108,5623.609014,5622.902431,266.024587,2734.381501,2889.532794,43.539285,876.663516,18056.66297,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,7,73,"Success",0.008548,5630.981485,5625.046881,266.193297,2620.411458,2735.994465,43.537875,876.178874,17798.354383,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,8,73,"Success",0.00842,5515.031124,5590.366568,266.053605,2575.077764,2781.013632,43.462118,874.642027,17645.656899,376367056,0,376367048,4.8134139973e-16,0
