; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065374720,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540697996,"CurrentTimeLocal","Sat Oct 27 20:39:56 2018","Hostname","nid01146","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 0.000147
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,9,1,"Success",0.005782,24.342113,26.871532,0.046459,4.044179,0.202685,0.068101,0.800804,56.382327,524280,0,524280,7.7207827339e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,10,1,"Success",0.005534,24.453809,26.671932,0.046983,4.131861,0.211282,0.067477,0.809087,56.398604,524280,0,524280,7.7207827339e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,11,1,"Success",0.005535,24.330132,26.640705,0.046083,4.062142,0.203425,0.066964,0.807759,56.163539,524280,0,524280,7.7207827339e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,0,4,"Warmup",0.005044,23.150683,22.836496,0.0391,0.549055,0.286185,0.067731,1.177473,48.112428,546816,0,546816,1.2088967055e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,1,4,"Warmup",0.00512,23.048712,22.764605,0.041415,0.552064,0.252274,0.069588,1.182049,47.916468,546816,0,546816,1.2088967055e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,2,4,"Success",0.005073,23.144647,22.776532,0.042512,0.561676,0.260603,0.069511,1.182187,48.043428,546816,0,546816,1.2088967055e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,3,4,"Success",0.00516,23.142064,22.835018,0.042092,0.580538,0.254921,0.068839,1.189642,48.118997,546816,0,546816,1.2088967055e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,4,4,"Success",0.005133,23.015871,22.730795,0.041984,0.572722,0.252842,0.068233,1.182683,47.870877,546816,0,546816,1.2088967055e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,5,4,"Success",0.005133,22.911713,23.048863,0.042044,0.565943,0.260081,0.067935,1.191347,48.093708,546816,0,546816,1.2088967055e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,6,4,"Success",0.005019,23.00875,22.702732,0.041802,0.567056,0.248982,0.068308,1.194921,47.838216,546816,0,546816,1.2088967055e-07,0
