; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540674234,"CurrentTimeLocal","Sat Oct 27 14:03:54 2018","Hostname","nid01889","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 2.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",2476099,0,0,6,55,"Success",0.005619,78.294934,67.677984,6.914013,80.669371,74.965008,0.785576,4.667909,313.981371,9904400,0,9904396,1.292071046e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",2476099,0,0,7,55,"Success",0.004899,78.34184,67.70266,6.911301,81.795264,74.795099,0.7861,4.660075,314.998262,9904400,0,9904396,1.292071046e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",2476099,0,0,8,55,"Success",0.004578,78.302826,67.936094,6.919727,80.843283,75.257039,0.786609,4.663543,314.714446,9904400,0,9904396,1.292071046e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",2476099,0,0,9,55,"Success",0.0058,78.347929,67.721663,6.907902,81.405444,75.088396,0.784251,4.653966,314.916432,9904400,0,9904396,1.292071046e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",2476099,0,0,10,55,"Success",0.005024,78.360098,67.706583,6.91852,81.576964,74.973795,0.788614,4.6548,314.985169,9904400,0,9904396,1.292071046e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",2476099,0,0,11,55,"Success",0.004798,78.402384,67.833524,6.945892,81.178772,74.860877,0.790054,4.661241,314.678363,9904400,0,9904396,1.292071046e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000167,0.001647,0.000637,4.8e-05,9.2e-05,0.000141,2.1e-05,0.000814,0.003735,24,0,16,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",4,0,0,1,0,"Warmup",0.000167,0.00167,0.000641,4.8e-05,9.4e-05,0.000138,2.2e-05,0.000795,0.003744,24,0,16,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",4,0,0,2,0,"Success",0.000156,0.00158,0.000659,4.9e-05,8.5e-05,0.000135,2e-05,0.000785,0.003636,24,0,16,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",4,0,0,3,0,"Success",0.000165,0.00166,0.000653,4.8e-05,9.5e-05,0.00014,2.4e-05,0.000783,0.003732,24,0,16,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",4,0,0,4,0,"Success",0.000146,0.001583,0.000662,4.8e-05,9.2e-05,0.000133,2.1e-05,0.000788,0.00365,24,0,16,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",4,0,0,5,0,"Success",0.000167,0.001622,0.000661,4.9e-05,9.2e-05,0.000141,2.1e-05,0.000789,0.003716,24,0,16,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",4,0,0,6,0,"Success",0.000144,0.001619,0.000678,4.7e-05,8.7e-05,0.000137,2.2e-05,0.000783,0.003692,24,0,16,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",4,0,0,7,0,"Success",0.000159,0.0016,0.000649,4.6e-05,8.6e-05,0.000135,2.4e-05,0.000785,0.003656,24,0,16,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",4,0,0,8,0,"Success",0.000153,0.001623,0.000656,4.9e-05,8.7e-05,0.000134,2.1e-05,0.000809,0.003702,24,0,16,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",4,0,0,9,0,"Success",0.000151,0.001625,0.000648,4.8e-05,8e-05,0.000133,2.1e-05,0.000826,0.00371,24,0,16,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",4,0,0,10,0,"Success",0.000189,0.001646,0.000653,4.8e-05,8.8e-05,0.000136,2.1e-05,0.000844,0.00379,24,0,16,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",4,0,0,11,0,"Success",0.00015,0.001654,0.000667,4.6e-05,8.8e-05,0.000135,2.1e-05,0.000808,0.003743,24,0,16,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000425,0.002666,0.002748,0.000118,0.000287,0.00192,3.9e-05,0.001131,0.009549,40,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000193,0.001741,0.000716,5.7e-05,0.00011,0.000173,2e-05,0.000817,0.00401,40,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",8,0,0,2,1,"Success",0.000179,0.001581,0.000652,5e-05,9.7e-05,0.000144,2.1e-05,0.000811,0.00371,40,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",8,0,0,3,1,"Success",0.000167,0.001679,0.000672,4.9e-05,9.4e-05,0.000147,2.4e-05,0.00081,0.003807,40,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",8,0,0,4,1,"Success",0.00017,0.001591,0.000673,4.8e-05,9.4e-05,0.000152,2.1e-05,0.000799,0.003722,40,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",8,0,0,5,1,"Success",0.000167,0.001544,0.00066,4.9e-05,0.000102,0.000151,2.2e-05,0.000808,0.003679,40,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",8,0,0,6,1,"Success",0.00016,0.001556,0.000669,4.9e-05,9.9e-05,0.000151,2.2e-05,0.000791,0.00367,40,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",8,0,0,7,1,"Success",0.00016,0.001576,0.000633,4.9e-05,9.5e-05,0.000147,2e-05,0.00079,0.003645,40,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",8,0,0,8,1,"Success",0.000165,0.001614,0.000647,4.9e-05,9.3e-05,0.000147,2.1e-05,0.000794,0.003704,40,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",8,0,0,9,1,"Success",0.000171,0.001595,0.000647,4.8e-05,9.8e-05,0.000148,2.2e-05,0.000793,0.003697,40,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",8,0,0,10,1,"Success",0.000168,0.001582,0.000664,4.8e-05,9.9e-05,0.000145,2.2e-05,0.000792,0.003693,40,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",8,0,0,11,1,"Success",0.000173,0.001598,0.00064,4.6e-05,9.6e-05,0.000146,2.4e-05,0.000783,0.003677,40,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000435,0.002529,0.000791,9.2e-05,0.000292,0.000287,3.7e-05,0.001334,0.006007,72,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000287,0.001798,0.000716,5.9e-05,0.000124,0.000182,2.8e-05,0.000908,0.004281,72,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",16,0,0,2,2,"Success",0.000202,0.001795,0.000722,6.3e-05,0.000119,0.00017,1.7e-05,0.000849,0.004138,72,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",16,0,0,3,2,"Success",0.000199,0.001713,0.000725,6e-05,0.00012,0.000166,3e-05,0.00085,0.004055,72,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",16,0,0,4,2,"Success",0.000182,0.00173,0.000717,6e-05,0.000121,0.000167,2.8e-05,0.000842,0.004036,72,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",16,0,0,5,2,"Success",0.000204,0.001609,0.000679,4.8e-05,0.000114,0.000179,2.9e-05,0.000866,0.003896,72,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",16,0,0,6,2,"Success",0.000191,0.001628,0.000712,5.1e-05,0.000112,0.000164,3e-05,0.000852,0.003894,72,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",16,0,0,7,2,"Success",0.000189,0.001656,0.000716,5.8e-05,0.000113,0.000176,2.9e-05,0.000839,0.00392,72,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",16,0,0,8,2,"Success",0.000173,0.001609,0.000697,4.7e-05,0.000103,0.000167,1.8e-05,0.000837,0.003877,72,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",16,0,0,9,2,"Success",0.000188,0.001698,0.000699,4.8e-05,0.00012,0.000184,2.8e-05,0.000843,0.003999,72,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",16,0,0,10,2,"Success",0.000199,0.001675,0.000683,4.7e-05,9.8e-05,0.000164,1.6e-05,0.000844,0.003927,72,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",16,0,0,11,2,"Success",0.00017,0.001676,0.000708,6.1e-05,0.000114,0.000167,2.9e-05,0.000842,0.003936,72,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000308,5.898089,0.005452,0.000183,0.007898,0.000865,6.3e-05,0.013196,5.926409,136,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000473,0.003123,0.001153,8.9e-05,0.000351,0.000314,3.8e-05,0.001269,0.007033,136,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",32,0,0,2,3,"Success",0.000342,0.002557,0.001003,6.8e-05,0.000279,0.000269,3.1e-05,0.001086,0.005817,136,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",32,0,0,3,3,"Success",0.000283,0.002305,0.000955,5.3e-05,0.000316,0.000294,3e-05,0.001029,0.005445,136,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",32,0,0,4,3,"Success",0.000244,0.002151,0.00088,5.3e-05,0.000251,0.000253,1.8e-05,0.000967,0.005018,136,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",32,0,0,5,3,"Success",0.000243,0.002146,0.000907,5.6e-05,0.000251,0.000242,2.9e-05,0.00098,0.005036,136,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",32,0,0,6,3,"Success",0.000264,0.002221,0.000911,6e-05,0.000244,0.000251,1.8e-05,0.00099,0.005127,136,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",32,0,0,7,3,"Success",0.000241,0.002199,0.000888,5.4e-05,0.00025,0.000255,1.8e-05,0.000976,0.005108,136,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",32,0,0,8,3,"Success",0.000209,0.002189,0.000881,4.7e-05,0.000269,0.00025,2.8e-05,0.000963,0.005017,136,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",32,0,0,9,3,"Success",0.000246,0.002121,0.000875,5.8e-05,0.000272,0.000252,3.1e-05,0.000945,0.004991,136,0,128,0,0
