; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540722755,"CurrentTimeLocal","Sun Oct 28 03:32:35 2018","Hostname","nid00725","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 5.2e-05
; "Time_ContextDestroy [ms]", 7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,72,"Success",0.004694,138.335208,130.304539,2.004058,20.575094,19.997684,2.637554,0.535481,314.394954,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,72,"Success",0.003695,139.704902,130.109336,2.014808,20.579149,20.104744,2.61491,0.573673,315.70586,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,72,"Success",0.003683,139.937839,127.019634,2.055004,20.678269,19.849837,2.543379,0.541508,312.629832,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,72,"Success",0.004551,140.133546,129.49953,2.013772,20.37828,20.079372,2.628202,0.587629,315.325601,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,72,"Success",0.003678,139.879382,129.676648,2.011043,20.429085,20.035363,2.609413,0.5402,315.185455,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,72,"Success",0.003685,136.535257,129.771721,2.02236,20.48834,20.055535,2.606293,0.532928,312.016828,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,72,"Success",0.004714,139.04704,126.366066,2.00766,20.574496,19.943391,2.583258,0.564935,311.092208,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,0,73,"Warmup",0.012239,688.045845,221.51391,277.893387,887.272284,887.875772,43.69471,49.192588,3055.504072,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,1,73,"Warmup",0.013474,680.390492,221.315012,276.287981,879.389628,880.517485,43.932047,49.188919,3031.037973,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,2,73,"Success",0.013774,681.233814,221.139168,276.343942,880.864829,881.173486,43.612214,49.204683,3033.588238,376367048,0,376367048,9.4868001656e-08,0
