; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1538716216,"CurrentTimeLocal","Thu Oct  4 22:10:16 2018","Hostname","nid01031","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 3.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,3,0,"Success",0.000208,0.001805,0.0007,8.8e-05,8.2e-05,0.000138,2.1e-05,0.000851,0.004068,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,4,0,"Success",0.000179,0.001921,0.000706,9e-05,9.1e-05,0.000139,2e-05,0.000842,0.00416,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,5,0,"Success",0.00018,0.001866,0.000728,8.8e-05,8.1e-05,0.000139,2e-05,0.000824,0.004097,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,6,0,"Success",0.000189,0.001806,0.000719,8.3e-05,8.4e-05,0.000139,2e-05,0.000838,0.004051,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,7,0,"Success",0.00018,0.001818,0.000706,8.8e-05,8.2e-05,0.000143,2.1e-05,0.000856,0.004066,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,8,0,"Success",0.000189,0.001793,0.000706,8.6e-05,8.1e-05,0.000138,2e-05,0.00085,0.004037,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,9,0,"Success",0.000176,0.001788,0.000737,8.4e-05,9.2e-05,0.00014,2.1e-05,0.000852,0.004066,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,10,0,"Success",0.000181,0.00184,0.000712,8.9e-05,9.4e-05,0.00014,2.3e-05,0.000835,0.004085,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,11,0,"Success",0.000181,0.001807,0.000714,8.8e-05,9.5e-05,0.000141,2e-05,0.000837,0.00406,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,0,1,"Warmup",0.000333,0.002817,0.002789,6.7e-05,0.000236,0.000295,3.3e-05,0.001121,0.007926,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,1,1,"Warmup",0.000231,0.001972,0.000771,6.2e-05,0.000111,0.000147,3.2e-05,0.000925,0.004454,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,2,1,"Success",0.000243,0.001874,0.000747,5.3e-05,0.000109,0.000155,3.1e-05,0.000963,0.004372,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,3,1,"Success",0.00025,0.001915,0.000784,6.6e-05,0.000107,0.000144,2.7e-05,0.000917,0.004378,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,4,1,"Success",0.000228,0.001878,0.000769,5.5e-05,0.000113,0.00015,2.7e-05,0.00091,0.004314,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,5,1,"Success",0.000228,0.001898,0.000756,5.6e-05,0.000101,0.000132,1.6e-05,0.000918,0.004296,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,6,1,"Success",0.000229,0.00188,0.000751,6.7e-05,0.000113,0.00013,1.5e-05,0.000899,0.004276,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,7,1,"Success",0.00019,0.001878,0.000766,5.5e-05,9.5e-05,0.000163,2.7e-05,0.000874,0.004239,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,8,1,"Success",0.000199,0.001875,0.000753,6.9e-05,0.000112,0.000133,2.7e-05,0.000881,0.004235,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,9,1,"Success",0.000196,0.001844,0.000755,5.5e-05,9.6e-05,0.000135,2.7e-05,0.000878,0.004175,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,10,1,"Success",0.000206,0.001844,0.00077,6.6e-05,0.000116,0.000134,1.6e-05,0.000871,0.004229,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,11,1,"Success",0.000188,0.001906,0.000761,5.6e-05,0.000103,0.000133,1.6e-05,0.000908,0.00429,80,0,64,0,0
